Id,PageType,PageId,UserId,SessionId,TimeSpent,FirstPing,LastPing,ActiveTimeOnPage,IPAdress,ScrollDistance,CountryCode
1041,profile,1df03d5f-1a7f-463a-9100-9f8b456ec060,null,19ceef53-5a4d-4d2e-a5b4-9753a4ca9702,64,2020-06-15 11:26:58.3073616,2020-06-15 11:28:02.6449328,64.33799999999999,102.187.59.22,0,--
1042,feed,n/a,tbd,3b4704c1-f180-49c6-a65a-4a95cccd4628,0,2020-06-15 11:27:16.0276526,2020-06-15 11:27:16.0276526,0,103.143.98.223,0,--
1043,feed,n/a,tbd,6ace7504-3a73-4792-af36-f2526688aafa,0,2020-06-15 11:27:31.0503146,2020-06-15 11:27:31.0503146,0,140.130.198.82,0,TW
1044,feed,n/a,tbd,a4ce1396-ac14-4a30-bbea-2de1d315c472,150,2020-06-15 11:27:34.0782513,2020-06-15 11:30:04.8635481,30.073,103.143.98.223,19727,--
1045,feed,n/a,tbd,c8f23ebb-f659-4703-a010-a41063ce6be1,0,2020-06-15 11:27:44.9594294,2020-06-15 11:27:44.9594294,0,140.130.198.82,0,TW
1046,feed,n/a,tbd,bdebca41-a2d7-4c0e-be9d-4ae091c3ff8f,0,2020-06-15 11:27:47.2100799,2020-06-15 11:27:47.2100799,0,223.225.19.70,0,IN
1047,feed,n/a,tbd,68389284-b62c-4760-bb30-c5618e0cc349,0,2020-06-15 11:27:49.2065172,2020-06-15 11:27:49.2065172,0,140.130.198.82,0,TW
1048,feed,n/a,tbd,b229488e-f809-450d-8fa0-c9d170e6a7e4,61,2020-06-15 11:27:49.8118411,2020-06-15 11:28:51.5487475,4.497,140.130.198.82,0,TW
1049,feed,n/a,tbd,70d34cae-3434-432c-91cc-cef1e04f7693,0,2020-06-15 11:27:54.0372384,2020-06-15 11:27:54.0372384,0,223.225.19.70,0,IN
1050,feed,n/a,tbd,5eb93fa2-f906-41ae-979a-234c7d8d2a4e,0,2020-06-15 11:28:51.1176381,2020-06-15 11:28:51.1176381,0,41.189.236.238,0,DJ
1051,feed,n/a,tbd,f23b1574-27be-4980-b73a-5a6a2ad3b7ae,31,2020-06-15 11:29:05.3547110,2020-06-15 11:29:36.8811021,12.407,41.189.236.238,65,DJ
1052,feed,n/a,tbd,61eb5e84-1361-4511-ab3f-86f48502f554,0,2020-06-15 11:30:36.1717497,2020-06-15 11:30:36.1717497,0,103.143.98.223,0,--
1053,feed,n/a,tbd,a262adf6-ecfc-4bf4-b664-41e0d8213ae4,120,2020-06-15 11:32:19.7775383,2020-06-15 11:34:20.4731403,15.117,80.28.170.134,48,ES
1054,feed,n/a,tbd,d3cc042c-dd5c-49f4-ab7f-6d310fe95d8c,0,2020-06-15 11:34:27.8315044,2020-06-15 11:34:27.8315044,0,80.28.170.134,0,ES
1055,profile,590b89c9-763a-412b-b2f8-fa05da290bfe,590b89c9-763a-412b-b2f8-fa05da290bfe,8118117d-bdca-4ffd-bb6d-eaa68fa48d0c,60,2020-06-15 11:34:32.3198906,2020-06-15 11:35:32.4978341,45.336,80.28.170.134,0,ES
1056,feed,n/a,tbd,2f9dfd87-d9e0-412e-92d8-3820ed1a94b0,0,2020-06-15 11:35:10.9145889,2020-06-15 11:35:10.9145889,0,95.245.125.108,0,IT
1057,feed,n/a,tbd,ad65a80c-f835-4978-8adf-591409f493a8,0,2020-06-15 11:35:39.0233965,2020-06-15 11:35:39.0233965,0,187.5.191.18,0,BR
